,Name,Solvent,N Parameter,sN Parameter,E parameter,Classification,reference
0,"2,3-dichloro-5,6-dicyano-p-benzoquinone (DDQ)",MeCN,0,0,-3.66,3,DOI: 10.1021/ja405890d
1,((2-(2-iodophenyl)propan-2-yl)oxy)(trifluoromethyl)sulfane,0,0,0,-14.52,3,DOI: 10.1002/anie.201805859
2,((2-phenylpropan-2-yl)oxy)(trifluoromethyl)sulfane,0,0,0,-13.77,3,DOI: 10.1002/anie.201805859
3,"(2,4,6-trimethylphenyl)ethylium ion",0,0,0,6.04,1,DOI: 10.1021/ma048389o
4,"(2-(4-methoxyphenyl)ethene-1,1-diyldisulfonyl)dibenzene",DMSO,0,0,-13.88,3,DOI: 10.1002/asia.201101046
5,"(2-phenylethene-1,1-diyldisulfonyl)dibenzene",DMSO,0,0,-12.93,3,DOI: 10.1002/asia.201101046
6,"(2S,5S)-5-benzyl-3-methyl-4-oxo-1-(3-phenylallylidene)-2-((E)-styryl)imidazolidin-1-ium",dichloromethane,0,0,-5.90,2,DOI: 10.1002/ajoc.201402009
7,(3-CF3)-tritylium ion,,0,0,1.18,1,DOI: 10.1021/ja021010y
8,(3-Cl)-tritylium ion,,0,0,1.06,1,DOI: 10.1021/ja021010y
9,(3-Cl)3-tritylium ion,,0,0,1.99,1,DOI: 10.1021/ja021010y
10,(3-F)-tritylium ion,,0,0,1.01,1,DOI: 10.1002/ejoc.201100910
11,(3-F)2-tritylium ion,,0,0,1.54,1,DOI: 10.1002/ejoc.201100910
12,(3-F)3-tritylium ion,,0,0,2.07,1,DOI: 10.1002/ejoc.201100910
13,(3-F)4-tritylium ion,,0,0,2.54,1,DOI: 10.1002/ejoc.201100910
14,(4-CF3)-tritylium ion,,0,0,1.33,1,DOI: 10.1021/ja021010y
15,(4-CF3)2-tritylium ion,,0,0,2.28,1,DOI: 10.1021/ja021010y
16,(4-F)-tritylium ion,,0,0,0.35,1,DOI: 10.1002/ejoc.201100910
17,(4-F)2-tritylium ion,,0,0,0.17,1,DOI: 10.1002/ejoc.201100910
18,(4-F)3-tritylium ion,,0,0,0.05,1,DOI: 10.1002/ejoc.201100910
19,(4-Me)-tritylium ion,,0,0,-0.13,1,DOI: 10.1021/ja021010y
20,(4-Me)2-tritylium ion,,0,0,-0.70,1,DOI: 10.1021/ja021010y
21,(4-Me)3-tritylium ion,,0,0,-1.21,1,DOI: 10.1021/ja021010y
22,(4-MeO)-tritylium ion,,0,0,-1.59,1,DOI: 10.1002/ejoc.201100910
23,(4-MeO)2-tritylium ion,,0,0,-3.04,1,DOI: 10.1021/ja021010y
24,(4-MeO)3-tritylium ion,,0,0,-4.35,1,DOI: 10.1021/ja021010y
