,Name,Solvent,N Parameter,sN Parameter,E parameter,Classification,reference
0,o-nitrophenolate (in DMF),DMF,16.65,0.70,0,3,DOI: 10.1021/acs.joc.9b01485
1,o-nitrophenolate (in DMSO),DMSO,15.48,0.71,0,3,DOI: 10.1021/acs.joc.9b01485
2,p-nitrophenolate (in DMF),DMF,15.05,0.80,0,3,DOI: 10.1021/acs.joc.9b01485
3,p-nitrophenolate (in MeCN),MeCN,15.14,0.82,0,3,DOI: 10.1021/acs.joc.9b01485
4,o-nitrophenolate (in MeCN),MeCN,15.83,0.80,0,3,DOI: 10.1021/acs.joc.9b01485
5,"cysteine (dianionic, in water)",water,23.43,0.42,0,3,DOI: 10.1039/b713778h
6,lithium (5-methylthiophen-2-yl)(4-(trifluoromethyl)phenyl)pinacolborate,MeCN,6.24,1.00,0,2,DOI: 10.1002/anie.201410562
7,potassium trifluoro(furan-2-yl)borate,MeCN,5.99,0.79,0,2,DOI: 10.1021/ja4017655
8,((dimethylsilyl)methyl)trimethylsilane,dichloromethane,4.86,0.64,0,1,DOI: 10.1002/chem.201202839
9,((methylsilanediyl)bis(methylene))bis(trimethylsilane),dichloromethane,4.91,0.64,0,2,DOI: 10.1002/chem.201202839
10,(1H-inden-1-yl)trimethylsilane (in CH2Cl2),dichloromethane,-0.10,1.05,0,3,DOI: 10.1002/anie.201501385
11,(1H-inden-1-yl)trimethylstannane (in CH2Cl2),dichloromethane,6.68,0.81,0,3,DOI: 10.1002/anie.201501385
12,(1H-inden-1-yl)zinc(II) bromide*LiBr (in DMSO),DMSO,15.60,0.51,0,2,DOI: 10.1002/anie.201501385
13,(1H-inden-1-yl)zinc(II) chloride*LiCl (in DMSO),DMSO,18.10,0.46,0,2,DOI: 10.1002/anie.201501385
14,(1S)-(-)-alpha-pinene,dichloromethane,0.68,1.10,0,1,DOI: 10.1021/ar020094c
15,"(2,2-diphenylethyl)diethyl(methyl)silane",dichloromethane,-6.40,1.10,0,1,DOI: 10.1002/chem.201202839
16,"(2,3-dimethylbut-2-enyl)triethylsilane",dichloromethane,3.15,1.15,0,1,DOI: 10.1021/ar020094c
17,"(2-([1,1'-biphenyl]-4-yl)ethyl)trimethylstannane","1,2-dichloroethane",-0.80,1.10,0,1,DOI: 10.1002/chem.201202839
18,(2-methylallyl)benzene,dichloromethane,0.25,1.00,0,1,DOI: 10.1021/ar020094c
19,(2-methylallyl)dicarbonyl(cyclopentadienyl)iron(II),dichloromethane,8.45,0.83,0,3,DOI: 10.1002/hlca.200590137
20,(2-methylallyl)tributylstannane,dichloromethane,7.48,0.89,0,5,DOI: 10.1021/ja010890y
21,(2-methylallyl)trichlorosilane,dichloromethane,-0.57,0.95,0,1,DOI: 10.1021/ar020094c
22,(2-methylallyl)trimethylsilane,dichloromethane,4.41,0.96,0,5,DOI: 10.1021/ja010890y
23,(2-methylallyl)triphenylgermane,dichloromethane,4.67,0.81,0,5,DOI: 10.1021/ja010890y
24,(2-methylallyl)triphenylsilane,dichloromethane,4.17,0.79,0,2,DOI: 10.1021/ja010890y
25,(2-methylallyl)triphenylstannane,dichloromethane,5.13,0.90,0,1,DOI: 10.1021/ar020094c
26,(2-methylallyl)tris(trimethylsilyl)silane,dichloromethane,4.63,0.87,0,3,DOI: 10.1021/ol102220e
27,"(2R,5S)-5-benzyl-3-methyl-2-(5-methylfuran-2-yl)imidazolidin-4-one",MeCN,7.39,1.00,0,3,DOI: 10.1021/jacs.9b11877
28,"(2S,3S)-3-isopropyl-2-phenyl-3,4-dihydro-2H-benzo[4,5]thiazolo[3,2-a]pyrimidine",dichloromethane,14.96,0.64,0,3,DOI: 10.1021/jo200803x
29,"(2S,5S)-5-benzyl-2-(tert-butyl)-3-methyl-1-((E)-styryl)imidazolidin-4-one",MeCN,5.80,0.87,0,3,DOI: 10.1002/anie.201201240
30,"(2S,5S)-5-benzyl-2-(tert-butyl)-3-methylimidazolidin-4-one",MeCN,5.44,1.12,0,3,DOI: 10.1021/jacs.9b11877
31,"(2S,5S)-5-benzyl-3-methyl-2-(5-methylfuran-2-yl)imidazolidin-4-one",MeCN,8.76,0.89,0,3,DOI: 10.1021/jacs.9b11877
32,"(3,3,4,4,5,5,6,6,7,7,7-undecafluoro)-2-(trimethylsiloxy)hept-1-ene",dichloromethane,-3.52,1.17,0,3,DOI: 10.1021/ol301766w
33,(3-chlorobenzyl)dimethylsilane,dichloromethane,1.30,0.75,0,1,DOI: 10.1002/chem.201202839
34,"(4,4-dimethylpentyl)trimethylstannane",dichloromethane/MeCN mix,-3.90,1.10,0,1,DOI: 10.1002/chem.201202839
35,(4-(tert-butyl)phenethyl)trimethylstannane,"1,2-dichloroethane",-0.30,1.10,0,1,DOI: 10.1002/chem.201202839
36,(4-Br-C6H4)-(CO)-CH=SMe2,dichloromethane,11.95,0.76,0,3,DOI: 10.1002/anie.200900933
37,(4-Br-C6H4)-(CO)-CH=SMe2 (in DMSO),DMSO,13.78,0.72,0,3,DOI: 10.1021/ja1084749
38,(4-chlorophenethyl)trimethylstannane,"1,2-dichloroethane",-1.80,1.10,0,1,DOI: 10.1002/chem.201202839
39,(4-chlorophenyl)dimethylsilane,dichloromethane,3.05,0.73,0,1,DOI: 10.1002/chem.201202839
40,(4-Me2N-C6H4)-(CO)-CH=SMe2 (in DMSO),DMSO,15.68,0.65,0,3,DOI: 10.1021/ja1084749
41,(4-MeO-C6H4)-(CO)-CH=SMe2 (in DMSO),DMSO,14.48,0.71,0,3,DOI: 10.1021/ja1084749
42,(4-methoxyphenethyl)trimethylstannane,"1,2-dichloroethane",0.20,1.10,0,1,DOI: 10.1002/chem.201202839
43,(4-methoxyphenyl)dimethylsilane,dichloromethane,4.23,0.73,0,1,DOI: 10.1002/chem.201202839
44,(5-methyl-furan-2-yl) MDA boronate,MeCN,6.38,0.86,0,3,DOI: 10.1039/c2sc00883a
45,(5-methyl-furan-2-yl) MIDA boronate,MeCN,1.84,1.26,0,2,DOI: 10.1039/c2sc00883a
46,(5-methyl-furan-2-yl) pinacol boronate,MeCN,2.90,0.98,0,3,DOI: 10.1039/c2sc00883a
47,(5-methyl-furan-2-yl) trifluoroborate,MeCN,7.66,1.04,0,3,DOI: 10.1039/c2sc00883a
48,"(5-methyl-furan-2-yl)(1,1,1-tris(methoxy)ethane)borate",MeCN,12.55,0.92,0,3,DOI: 10.1039/c2sc00883a
49,(allyl)dicarbonyl(cyclopentadienyl)iron(II),dichloromethane,6.78,0.95,0,3,DOI: 10.1002/hlca.200590137
50,(bis(trimethylsiloxy)amino)styrene,dichloromethane,4.80,0.86,0,1,DOI: 10.1021/jo0015927
51,(C6H5)-(CO)-CH=SMe2 (in DMSO),DMSO,13.95,0.69,0,3,DOI: 10.1021/ja1084749
52,(chloromethyl)dimethylsilane,dichloromethane,0.80,0.73,0,1,DOI: 10.1002/chem.201202839
53,(Cp*)2Zr(Me)2 - Dimethyl-bis(pentamethylcyclopentadienyl)zirconium,dichloromethane,5.49,1.06,0,3,DOI: 10.1002/chem.201602452
54,(cyclohexen-1-yl)prolinate (in MeCN),MeCN,18.86,0.70,0,3,DOI: 10.1002/anie.201004344
55,"(E)-1-(1,2-diphenylvinyl)piperidine (in MeCN)",MeCN,9.94,0.86,0,3,DOI: 10.1002/chem.201705962
56,"(E)-1-(1,2-diphenylvinyl)pyrrolidine (in MeCN)",MeCN,11.66,0.82,0,3,DOI: 10.1002/chem.201705962
57,(E)-1-(2-(4-methoxyphenyl)-1-phenylvinyl)pyrrolidine (in MeCN),MeCN,11.99,0.84,0,3,DOI: 10.1002/chem.201705962
58,(E)-1-(2-(4-nitrophenyl)-1-phenylvinyl)pyrrolidine (in MeCN),MeCN,10.42,0.82,0,3,DOI: 10.1002/chem.201705962
59,(E)-1-(N-morpholino)propene,dichloromethane,12.06,0.80,0,1,DOI: 10.1002/chem.200204666
60,(E)-1-styryl-2-(triphenylsilyl)pyrrolidine (in CH2Cl2),dichloromethane,11.77,0.98,0,3,DOI: 10.1021/ja508065e
61,(E)-1-styryl-2-tritylpyrrolidine (in CH2Cl2),dichloromethane,10.19,1.06,0,3,DOI: 10.1021/ja508065e
62,(E)-1-styrylpyrrolidine (in CH2Cl2),dichloromethane,12.26,0.93,0,3,DOI: 10.1021/ja508065e
63,(E)-1-styrylpyrrolidine (in MeCN),MeCN,13.87,0.76,0,3,DOI: 10.1002/chem.201705962
64,"(E)-2-methyl-penta-1,3-diene",dichloromethane,3.09,1.00,0,1,DOI: 10.1021/ar020094c
65,"(E)-4-(1,2-diphenylvinyl)morpholine (in MeCN)",MeCN,8.78,0.83,0,3,DOI: 10.1002/chem.201705962
66,(E)-4-(2-phenyl-2-(pyrrolidin-1-yl)vinyl)benzonitrile (in MeCN),MeCN,10.63,0.84,0,3,DOI: 10.1002/chem.201705962
67,(E)-4-styrylmorpholine,MeCN,11.66,0.83,0,3,DOI: 10.1002/chem.201705962
68,(E)-beta-(N-morpholino)styrene,dichloromethane,10.76,0.87,0,3,DOI: 10.1002/chem.200204666
69,(E)-beta-(N-piperidino)styrene (in MeCN),MeCN,13.84,0.73,0,3,DOI: 10.1002/chem.201705962
70,(E)-but-2-ene,dichloromethane,-2.45,1.10,0,1,DOI: 10.1021/ar020094c
71,(E)-but-2-enyltrimethylsilane,dichloromethane,1.94,1.10,0,1,DOI: 10.1021/ar020094c
72,"(E)-penta-1,3-diene",dichloromethane,1.49,1.00,0,1,DOI: 10.1021/ar020094c
73,(E)-propenylbenzene,dichloromethane,-0.49,1.18,0,5,DOI: 10.1021/ja306522b
74,"(E,E)-2,5-heptadiene",dichloromethane,-0.74,0.99,0,3,DOI: 10.1021/ja0121538
75,"(E,E)-hexa-2,4-diene",dichloromethane,1.17,1.10,0,1,DOI: 10.1021/ar020094c
76,(EtO)2P(O)CH(-)CN (in DMSO),DMSO,18.57,0.66,0,3,DOI: 10.1021/ja8056216
77,(EtO)2P(O)CH(-)CO2Et (in DMSO),DMSO,19.23,0.65,0,3,DOI: 10.1021/ja8056216
78,(p-bromophenyl)diazomethane,dichloromethane,8.87,0.82,0,3,DOI: 10.1021/jacs.8b09995
79,(p-cyanophenyl)diazomethane,dichloromethane,7.66,0.80,0,3,DOI: 10.1021/jacs.8b09995
80,(p-nitrophenyl)diazomethane,dichloromethane,7.17,0.83,0,3,DOI: 10.1021/jacs.8b09995
81,"(R)-2-(tert-butyl)-3,4-dihydro-2H-benzo[4,5]thiazolo[3,2-a]pyrimidine",dichloromethane,12.95,0.58,0,3,DOI: 10.1021/jo200803x
82,"(R)-2-benzhydryl-3,4-dihydro-2H-benzo[4,5]thiazolo[3,2-a]pyrimidine",dichloromethane,15.30,0.55,0,3,DOI: 10.1021/jo200803x
83,"(R)-2-isopropyl-3,4-dihydro-2H-benzo[4,5]thiazolo[3,2-a]pyrimidine",dichloromethane,16.50,0.48,0,3,DOI: 10.1021/jo200803x
84,(R)-2-isopropylpyrrolidine,MeCN,16.44,0.71,0,3,DOI: 10.1021/jacs.9b11877
85,"(S)-1-(3,5-bis(trifluoromethyl)phenyl)-3-(pyrrolidin-2-ylmethyl)thiourea",MeCN,14.97,0.69,0,3,DOI: 10.1021/jacs.9b11877
86,"(S)-1-(3,5-bis(trifluoromethyl)phenyl)-3-(pyrrolidin-2-ylmethyl)urea",MeCN,17.50,0.64,0,3,DOI: 10.1021/jacs.9b11877
87,(S)-1-(pyrrolidin-2-ylmethyl)-1H-imidazole,MeCN,15.55,0.69,0,3,DOI: 10.1021/jacs.9b11877
88,(S)-1-(pyrrolidin-2-ylmethyl)pyrrolidine,MeCN,18.33,0.64,0,3,DOI: 10.1021/jacs.9b11877
89,(S)-2-(azidodiphenylmethyl)pyrrolidine,MeCN,9.90,1.22,0,3,DOI: 10.1021/jacs.9b11877
90,(S)-2-(azidomethyl)pyrrolidine,MeCN,15.43,0.73,0,3,DOI: 10.1021/jacs.9b11877
91,(S)-2-(diphenyl((trimethylsilyl)oxy)methyl)pyrrolidine,MeCN,12.03,0.98,0,3,DOI: 10.1021/jacs.9b11877
92,(S)-2-(methoxymethyl)pyrrolidine,MeCN,16.50,0.71,0,3,DOI: 10.1021/jacs.9b11877
93,"(S)-2-(pyrrolidin-2-ylmethyl)isoindoline-1,3-dione",MeCN,15.90,0.77,0,3,DOI: 10.1021/jacs.9b11877
94,(S)-2-benzhydrylpyrrolidine,MeCN,16.61,0.67,0,3,DOI: 10.1021/jacs.9b11877
95,"(S)-2-phenyl-3,4-dihydro-2H-benzo[4,5]thiazolo[3,2-a]pyrimidine",dichloromethane,13.45,0.72,0,3,DOI: 10.1021/jo200803x
96,(S)-3-butyl-1-(pyrrolidin-2-ylmethyl)-1H-imidazol-3-ium trifluoromethanesulfonate,MeCN,13.57,0.53,0,3,DOI: 10.1021/jacs.9b11877
97,"(S)-4-benzyl-1,3-oxazolidin-2-one anion (in DMSO)",DMSO,22.67,0.54,0,3,DOI: 10.1021/jo1009883
98,"(S)-4-phenyl-1-(pyrrolidin-2-ylmethyl)-1H-1,2,3-triazole",MeCN,15.32,0.72,0,3,DOI: 10.1021/jacs.9b11877
99,"(S)-5-benzyl-2,2,3-trimethylimidazolidin-4-one",MeCN,6.04,0.92,0,3,DOI: 10.1021/jacs.9b11877
100,(S)-diphenyl(pyrrolidin-2-yl)methanol,MeCN,16.18,0.56,0,3,DOI: 10.1021/jacs.9b11877
101,"(S)-N,N-dimethyl-1-(pyrrolidin-2-yl)methanamine",MeCN,17.41,0.68,0,3,DOI: 10.1021/jacs.9b11877
102,"(S)-N,N-dimethylpyrrolidine-2-carboxamide",MeCN,17.61,0.67,0,3,DOI: 10.1021/jacs.9b11877
103,(S)-N-propylpyrrolidine-2-carboxamide,MeCN,15.20,0.73,0,3,DOI: 10.1021/jacs.9b11877
104,(S)-pyrrolidin-2-ylmethanamine,MeCN,17.24,0.67,0,3,DOI: 10.1021/jacs.9b11877
105,(S)-pyrrolidin-2-ylmethanol,MeCN,16.74,0.67,0,3,DOI: 10.1021/jacs.9b11877
106,"(S,E)-2-(diphenyl(trimethylsiloxy)methyl)-1-styrylpyrrolidine",MeCN,10.56,1.01,0,3,DOI: 10.1002/anie.201201240
107,"(S,E)-3-benzyl-1-methyl-4-styryl-1,4-diazaspiro[4.4]nonan-2-one",MeCN,7.92,1.07,0,3,DOI: 10.1002/anie.201201240
108,"(S,E)-5-benzyl-2,2,3-trimethyl-1-styrylimidazolidin-4-one",MeCN,7.20,1.14,0,3,DOI: 10.1002/anie.201201240
109,(triisopropylsiloxy)ethene,dichloromethane,3.44,0.94,0,2,DOI: 10.1021/ja010890y
110,(trimethylsilyl)diazomethane,dichloromethane,8.97,0.75,0,3,DOI: 10.1002/chem.200304913
111,(tris(trimethylsilyl)siloxy)ethene,dichloromethane,4.01,0.83,0,3,DOI: 10.1021/ol102220e
112,"(Z)-1,2-diphenyl-1-(trimethylsiloxy)ethene (in MeCN)",MeCN,3.00,0.83,0,3,DOI: 10.1055/s-0037-1611634
113,"(Z)-1-(1,3-dimesityl-1H-imidazol-3-ium-2-yl)-2-phenylprop-1-en-1-olate (in DMSO)",DMSO,14.40,0.64,0,3,DOI: 10.1002/ange.201303524
114,"(Z)-1-(1,3-dimesityl-1H-imidazol-3-ium-2-yl)-2-phenylprop-1-en-1-olate (in THF)",THF,15.33,0.79,0,3,DOI: 10.1002/ange.201303524
115,"(Z)-1-(1,3-dimesityl-4,5-dihydro-1H-imidazol-3-ium-2-yl)-2-phenylprop-1-en-1-olate (in THF)",THF,15.92,0.72,0,3,DOI: 10.1002/ange.201303524
116,(Z)-1-(N-morpholino)propene,dichloromethane,12.26,0.80,0,1,DOI: 10.1002/chem.200204666
117,(Z)-1-(triisopropylsiloxy)propen,dichloromethane,3.87,1.00,0,1,DOI: 10.1021/ar020094c
118,(Z)-1-phenyl-1-(trimethylsiloxy)propene (in MeCN),MeCN,5.18,0.94,0,3,DOI: 10.1055/s-0037-1611634
119,"(Z)-2-phenyl-1-(1,3,4-triphenyl-4H-1,2,4-triazol-1-ium-5-yl)prop-1-en-1-olate (in THF)",THF,14.40,0.66,0,3,DOI: 10.1002/ange.201303524
120,"(Z)-2-phenyl-1-(1,3,4-triphenyl-4H-1,2,4-triazol-1-ium-5-yl)prop-1-en-1-olate (in THF)",THF,16.73,0.63,0,2,DOI: 10.1002/ange.201303524
121,(Z)-but-2-ene,dichloromethane,-2.44,1.09,0,2,DOI: 10.1021/ja010890y
122,(Z)-but-2-enyltrimethylsilane,dichloromethane,1.69,1.10,0,1,DOI: 10.1021/ar020094c
123,"(Z)-penta-1,3-diene",dichloromethane,0.66,1.00,0,1,DOI: 10.1021/ar020094c
124,(Z)-phenylpropene,dichloromethane,-1.07,1.10,0,1,DOI: 10.1021/ar020094c
125,1% water/99% HFIP (w/w),water-HFIP mix,-1.93,1.09,0,3,DOI: 10.1002/poc.3064
126,"1,1,1,3,3,3-hexamethyl-2-(trimethylsilyl)trisilane",dichloromethane,3.61,0.79,0,3,DOI: 10.1002/chem.201202839
127,"1,1,1,3,3-pentamethyldisiloxane",dichloromethane,3.12,0.73,0,1,DOI: 10.1002/chem.201202839
128,"1,1,3,3-tetramethylguanidine",dichloromethane,13.58,0.77,0,3,DOI: 10.1002/cctc.201200143
129,"1,1-bis(trimethylsiloxy)propene",dichloromethane,10.38,0.87,0,4,DOI: 10.1002/ejoc.200400134
130,"1,1-diethoxyethene",dichloromethane,9.81,0.81,0,3,DOI: 10.1002/ejoc.200400134
131,"1,1-dimethyl-2-methylenehydrazine (in CH2Cl2)",dichloromethane,6.98,0.85,0,3,DOI: 10.1002/anie.201305092
132,"1,1-dimethyl-2-methylenehydrazine (in CH2Cl2)",dichloromethane,19.31,0.46,0,3,DOI: 10.1002/anie.201305092
133,"1,1-dimethylhydrazine (in MeCN)",MeCN,11.72,0.73,0,3,DOI: 10.1002/anie.201107315
