Shannon,Fisher,Fisher',GBP,E2,E3,R2,R3,G1,G2,G3,iso,aniso
4.1289,452.5159,450.967,59.3802,81.2625,7013.3132,8.7765,9.3762,1.2445,-4.8992,2.8139,318.8433,69.2116
3.9963,452.4128,451.4264,59.3126,81.263,7014.0417,8.5786,9.043,0.9391,-4.6597,2.7683,310.8895,39.209
4.0957,452.0528,451.0737,59.6229,81.2512,7009.9724,8.6162,9.0794,1.1179,-4.8802,2.936,300.4055,59.0185
4.1077,452.0645,451.0799,59.6391,81.2512,7009.9788,8.6239,9.0913,1.1324,-4.896,2.9167,301.0747,58.2311
4.102,452.0678,451.0834,59.6333,81.2523,7010.2438,8.6239,9.0929,1.1335,-4.8712,2.924,301.1969,58.0215
4.1137,451.8904,450.941,59.7293,81.2433,7007.9006,8.5977,9.0449,1.1617,-4.9287,2.9578,294.5795,49.4841
4.1136,451.8905,450.9411,59.7292,81.2433,7007.9011,8.5977,9.0449,1.1617,-4.9286,2.9577,294.5677,49.4679
4.1137,451.8905,450.9409,59.7293,81.2433,7007.8989,8.5977,9.0449,1.1617,-4.9287,2.9577,294.5713,49.4839
4.1137,451.8899,450.9404,59.7294,81.2433,7007.8896,8.5976,9.0448,1.1618,-4.9292,2.9579,294.587,49.4919
4.121,451.85,450.9034,59.7536,81.2403,7007.1309,8.5901,9.031,1.1662,-4.9573,2.9676,291.9877,46.0035
4.1318,451.8267,450.8698,59.7674,81.2368,7006.3108,8.5888,9.0242,1.1588,-4.9958,2.9966,293.6609,48.6051
4.1243,451.8311,450.8855,59.7619,81.2387,7006.725,8.5886,9.029,1.1742,-4.965,2.958,292.6153,46.4077
4.1285,451.8259,450.8813,59.7694,81.2387,7006.6773,8.5891,9.0289,1.172,-4.9819,2.9647,292.6506,46.32
4.1096,451.8448,450.8943,59.7305,81.239,7006.8263,8.5831,9.0194,1.1483,-4.9822,2.9603,291.9792,46.2525
4.1261,451.9698,451.1005,59.7089,81.2481,7008.8805,8.6107,9.08,1.1246,-4.9409,2.9954,297.7741,58.879
4.0426,451.5783,450.7005,59.7611,81.2318,7004.5238,8.5896,9.0276,1.1944,-5.0336,3.1694,279.4259,28.4548
4.2894,451.5734,451.3283,60.1994,81.2313,7004.9856,8.5438,8.9523,1.0951,-5.0661,3.1732,290.8222,54.193
4.3248,451.4457,451.2059,60.3487,81.2254,7003.5222,8.5444,8.9491,1.1662,-5.1292,3.1679,284.5018,51.3685
4.2945,451.8496,451.6672,60.171,81.2414,7007.5849,8.6327,9.0972,1.2133,-4.9641,3.1101,277.8251,18.0932
4.0246,451.8464,451.0282,59.6392,81.2439,7008.1803,8.5982,9.0636,1.1292,-4.9012,3.0175,282.6163,25.6609
4.1412,451.8998,450.974,59.7875,81.247,7008.5134,8.6096,9.0617,1.1708,-4.9443,2.9921,291.8623,54.6878
4.3034,451.5308,451.3668,60.2629,81.2264,7004.2111,8.5225,8.9136,1.1127,-5.0523,3.107,287.3005,48.6833
4.3448,451.3973,451.1622,60.4208,81.2233,7003.2783,8.535,8.9292,1.2178,-5.0977,3.1043,279.3539,46.7616
