,aniso
0,69.2116
1,39.209
2,59.0185
3,58.2311
4,58.0215
5,49.4841
6,49.4679
7,49.4839
8,49.4919
9,46.0035
10,48.6051
11,46.4077
12,46.32
13,46.2525
14,58.879
15,28.4548
16,54.193
17,51.3685
18,18.0932
19,25.6609
20,54.6878
21,48.6833
22,46.7616
23,29.7198
24,19.2764
25,30.9969
26,56.1727
27,48.0116
28,48.0143
29,48.0083
30,27.322
31,27.2947
32,27.2962
33,47.958
34,27.2179
35,45.2863
36,32.5491
37,25.3401
38,41.2527
39,48.3004
40,32.9377
41,44.2952
42,45.0825
43,26.8921
44,41.9116
45,44.104
46,28.6002
47,44.2095
48,25.028
49,28.5409
50,33.9306
51,43.7847
52,28.1557
53,44.7246
54,37.917
55,31.4299
56,55.3623
57,40.0461
58,29.2402
59,42.137
60,24.1445
61,42.2561
62,43.219
63,25.4117
64,46.3911
65,48.5353
66,48.524
67,48.5591
68,27.6958
69,35.2573
70,35.3043
71,35.248
72,35.2402
73,27.6979
74,27.7537
75,48.539
76,27.6848
77,33.6878
78,24.2402
79,41.9796
80,28.8519
81,47.1339
82,26.994
83,23.6306
84,28.5767
85,41.7631
86,33.5361
87,48.0885
88,38.8204
89,47.6375
90,43.6996
91,45.3744
92,24.3139
93,31.4993
94,41.8641
95,28.1665
96,46.8804
97,36.2687
98,45.5898
99,42.9562
100,29.5108
101,31.4637
102,26.7678
103,25.3041
104,41.4543
105,35.814
106,42.5453
107,25.4964
108,34.2995
109,29.9186
110,45.2993
111,29.2942
112,32.8637
113,33.2514
114,34.1162
115,28.6787
116,42.3112
117,26.9327
118,44.8679
119,36.6616
120,36.6719
121,27.5956
122,34.5414
123,34.5107
124,27.6198
125,48.0599
126,48.0238
127,48.0983
128,27.5263
129,36.6328
130,36.6589
131,48.0679
132,27.5486
133,34.5601
134,34.4926
135,46.4711
136,43.2921
137,50.1366
138,31.3573
139,27.6592
140,42.5229
141,26.3837
142,33.0243
143,33.2599
144,22.3433
145,40.5954
146,28.8428
147,30.8197
148,38.3208
149,50.5814
150,25.1522
151,25.9005
152,22.7662
153,37.0924
154,26.7042
155,46.5612
156,31.6202
157,42.0847
158,35.1329
159,37.7125
160,27.8499
161,44.6745
162,28.0418
163,44.9645
164,23.905
165,28.5133
166,45.9187
167,30.1032
168,28.1389
169,46.3326
170,26.2152
171,46.826
172,21.2888
173,38.2614
174,22.3717
175,25.0172
176,25.9808
177,24.3863
178,37.8074
179,29.1491
180,40.9681
181,45.0829
182,29.0696
183,47.3084
184,24.9726
185,42.5384
186,31.9653
187,42.2669
188,41.9421
189,26.7067
190,28.6234
191,41.6154
192,36.1652
193,33.0037
194,41.0985
195,30.709
196,35.7875
197,35.5386
198,31.9476
199,42.53
200,30.1765
201,41.2184
202,31.8815
203,41.7973
204,30.2271
205,41.1052
206,31.589
207,30.6041
208,34.5012
