,aniso
125,48.0599
73,27.6979
58,29.2402
186,31.9653
40,32.9377
72,35.2402
4,58.0215
130,36.6589
122,34.5414
135,46.4711
134,34.4926
41,44.2952
151,25.9005
161,44.6745
15,28.4548
64,46.3911
132,27.5486
199,42.53
177,24.3863
23,29.7198
89,47.6375
31,27.2947
105,35.814
133,34.5601
83,23.6306
180,40.9681
100,29.5108
17,51.3685
30,27.322
67,48.5591
92,24.3139
168,28.1389
74,27.7537
42,45.0825
136,43.2921
109,29.9186
13,46.2525
95,28.1665
143,33.2599
5,49.4841
86,33.5361
183,47.3084
189,26.7067
163,44.9645
108,34.2995
114,34.1162
78,24.2402
24,19.2764
82,26.994
165,28.5133
8,49.4919
53,44.7246
27,48.0116
204,30.2271
120,36.6719
126,48.0238
43,26.8921
57,40.0461
193,33.0037
22,46.7616
188,41.9421
173,38.2614
195,30.709
87,48.0885
137,50.1366
63,25.4117
145,40.5954
153,37.0924
198,31.9476
45,44.104
35,45.2863
65,48.5353
50,33.9306
128,27.5263
98,45.5898
16,54.193
19,25.6609
178,37.8074
44,41.9116
68,27.6958
76,27.6848
146,28.8428
112,32.8637
10,48.6051
84,28.5767
11,46.4077
55,31.4299
88,38.8204
205,41.1052
187,42.2669
111,29.2942
139,27.6592
9,46.0035
140,42.5229
32,27.2962
29,48.0083
39,48.3004
182,29.0696
56,55.3623
154,26.7042
202,31.8815
91,45.3744
59,42.137
181,45.0829
36,32.5491
185,42.5384
52,28.1557
155,46.5612
48,25.028
141,26.3837
96,46.8804
75,48.539
176,25.9808
201,41.2184
80,28.8519
144,22.3433
99,42.9562
124,27.6198
160,27.8499
117,26.9327
85,41.7631
1,39.209
113,33.2514
170,26.2152
116,42.3112
18,18.0932
203,41.7973
54,37.917
196,35.7875
28,48.0143
127,48.0983
197,35.5386
49,28.5409
94,41.8641
20,54.6878
37,25.3401
79,41.9796
123,34.5107
33,47.958
171,46.826
7,49.4839
62,43.219
207,30.6041
208,34.5012
157,42.0847
97,36.2687
110,45.2993
104,41.4543
69,35.2573
90,43.6996
179,29.1491
129,36.6328
60,24.1445
2,59.0185
66,48.524
150,25.1522
81,47.1339
26,56.1727
142,33.0243
167,30.1032
93,31.4993
172,21.2888
148,38.3208
166,45.9187
119,36.6616
149,50.5814
138,31.3573
169,46.3326
107,25.4964
147,30.8197
21,48.6833
0,69.2116
200,30.1765
184,24.9726
131,48.0679
152,22.7662
106,42.5453
