,0
0,47.72718
1,27.937023
2,32.82718
3,30.548777
4,32.306946
5,34.48215
6,59.510853
7,36.6823
8,34.25694
9,46.084488
10,33.736103
11,44.058155
12,27.545565
13,44.862835
14,27.980915
15,46.786335
16,27.599003
17,42.443703
18,27.708652
19,29.315374
20,48.132877
21,27.75119
22,35.692608
23,34.523502
24,23.641676
25,41.560528
26,29.80213
27,50.114147
28,27.826094
29,48.402332
30,25.31333
31,27.910988
32,27.7818
33,45.471027
34,42.973637
35,30.562477
36,46.55859
37,27.824121
38,32.721897
39,51.799213
40,33.548347
41,46.912
42,29.891937
43,44.767235
44,35.51336
45,34.26797
46,23.362263
47,20.59713
48,28.063877
49,28.38898
50,50.342766
51,44.981277
52,47.87036
53,30.1091
54,36.6823
55,47.851685
56,26.253006
57,38.762295
58,32.78209
59,45.715664
60,41.471317
61,39.929966
62,30.450544
63,46.835396
64,49.742416
65,24.542753
66,40.203987
67,37.449966
68,31.843103
69,44.458447
70,41.03159
71,48.649708
72,33.271538
73,27.599003
74,44.46693
75,53.841003
76,28.190275
77,38.260414
78,42.325615
79,27.937023
80,27.7818
81,28.615875
82,32.777874
83,49.182995
84,27.758741
85,46.722263
86,31.41623
87,36.003677
88,41.558475
89,43.10382
90,30.175352
91,29.94434
92,44.18939
93,43.43894
94,27.025904
95,47.93075
96,48.671963
97,29.295406
98,52.835377
99,26.885798
100,31.465637
101,45.277008
102,42.47195
103,44.56557
104,31.648022
105,42.647972
106,28.461042
107,46.632736
108,26.234447
109,26.568062
110,47.408497
111,48.46737
112,26.850048
113,41.77851
114,29.117826
115,23.458103
116,42.463528
117,27.599003
118,28.461624
119,26.44927
120,42.520397
121,41.38989
122,33.48677
123,26.758718
124,42.260307
125,20.903782
126,41.159496
127,36.594776
128,35.724262
129,47.824924
130,47.851685
131,32.659355
132,28.129757
133,42.23671
134,55.117775
135,27.443396
136,41.26355
137,34.71198
138,47.694847
139,45.69978
140,51.336227
141,43.44465
142,30.565437
143,33.11354
144,42.5673
145,36.4015
146,45.498882
147,41.854317
148,35.989986
149,44.11123
150,29.646452
151,36.6823
152,24.51725
153,59.510853
154,48.74348
155,24.890913
156,46.639694
157,55.66203
158,33.416183
159,30.46839
160,32.514652
161,22.700874
162,37.08987
163,45.51017
164,36.6823
165,50.56375
166,29.448505
167,46.64948
168,25.060898
169,30.853651
170,48.895798
171,55.91315
172,30.197886
173,25.641453
174,47.851685
175,23.640345
176,42.465584
